Country Or Territory,Degree Of Urbanisation,Year,Air Pollutant,Health Risk Scenario,Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"European Union Countries","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","442518420","1793064","8.9","11.4","253305","193440","282490","2583716","1972960","2881017"
"Poland","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","37839764","196199","14.7","18.1","47298","36288","52626","519035","398147","577496"
"Italy","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","59235907","169658","11.2","13.9","46792","35782","52139","415377","317574","462900"
"Germany","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","83153983","213783","8.3","9.4","32322","24560","36117","332987","253212","372010"
"France","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","65504086","370764","7.6","9.4","20061","15259","22411","214183","162921","239276"
"Romania","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","19201554","70116","12.5","14.3","19604","14985","21858","213287","162996","237749"
"Spain","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","45228912","60511","7.2","9.5","14074","10708","15731","153571","116857","171541"
"Bulgaria","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","6916366","23499","11.3","15.1","10840","8292","12081","99805","76318","111208"
"Hungary","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","9730712","27758","12.8","14.4","10381","7929","11582","112354","85826","125246"
"Greece","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","10677898","24576","11.9","15.9","9990","7640","11125","98036","75037","109219"
"Czechia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","10494798","44196","11.5","13.5","8482","6479","9460","86260","65878","96176"
"Netherlands","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","17475292","30299","9.4","9.7","5691","4334","6361","59027","44899","65948"
"Slovakia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","5459759","15868","13.1","15.4","5354","4097","5967","57872","44258","64485"
"Belgium","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","11554653","25153","9.7","10.7","5106","3896","5705","47218","35950","52731"
"Croatia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","4036298","23884","10.2","14.6","3797","2902","4233","37171","28440","41414"
"Austria","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","8932574","43050","7.9","9.9","3203","2438","3576","32325","24602","36092"
"Lithuania","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","2795650","35587","9.9","11.4","2148","1638","2398","21791","16597","24333"
"Portugal","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","9796871","39647","5.5","7.4","2105","1595","2351","20714","15731","23157"
"Latvia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","1893203","32912","7.9","10.7","1405","1069","1565","14297","10894","15961"
"Denmark","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","5840015","37704","7.5","8.0","1203","914","1340","13004","9871","14534"
"Slovenia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","2108943","13251","10.0","12.2","1191","912","1330","11452","8735","12775"
"Sweden","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","10379233","110846","4.5","5.6","646","495","730","5905","4484","6603"
"Cyprus","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","1241029","6504","10.5","14.0","629","481","702","6650","5079","7416"
"Ireland","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","5006302","55482","5.6","7.0","458","349","514","5490","4172","6150"
"Malta","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","516095","264","10.9","11.6","193","148","215","2201","1676","2458"
"Finland","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","5533745","99493","4.0","5.0","158","122","178","1694","1281","1891"
"Estonia","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","1330051","20389","4.7","5.8","97","68","108","1121","851","1254"
"Luxembourg","All Areas (incl.unclassified)","2021","PM2.5","WHO_2021_AQG_Scen_Base","634727","1658","6.8","7.4","77","60","87","889","674","994"
