AQ Station Name;Air Quality Station Area;Air Quality Station Type;StandardsDescription;Country1;Unit Of Airpollution Level;Year Of Statistics;Air Pollution Class;Sampling Point;Year shapes;Data Aggregation Process Label;Air Pollutant;Air Pollution Level;Latitude;Longitude;Round Air pollution level
 Olsztyn, ul. Puszkina;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0175A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;11,463;53,7892;20,4861;11
40AL01 - LINKEROEVER;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELAL01_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,24;51,2362;4,3852;11
40AL02 - BEVEREN;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELAL02_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,27;51,3045;4,2348;12
40AL03 - BEVEREN;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELAL03_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,811;51,254;4,2015;12
40AL04 - BEVEREN;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELAL04_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,896;51,2907;4,2933;12
40AL05 - BEVEREN;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELAL05_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,291;51,2631;4,2789;11
40GK11 - GENK;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETGK11_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,987;50,9315;5,5203;12
40HB23 - HOBOKEN;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELHB23_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,884;51,1703;4,341;11
40HH08 - HOUTHALEN-HELCHTEREN;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELHH08_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,269;51,0316;5,3764;11
40MN01 - MENEN;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELMN01_06001_100;2020;Annual mean / 1 calendar year;PM2.5;13,794;50,7935;3,1096;14
40OB01 - OOSTROZEBEK;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELOB01_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,193;50,9172;3,3074;14
40OB02 - WIELSBEKE;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELOB02_06001_100;2020;Annual mean / 1 calendar year;PM2.5;13,814;50,915;3,3762;14
40RL01 - ROESELARE;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELRL01_06001_100;2020;Annual mean / 1 calendar year;PM2.5;13,93;50,9532;3,1212;14
40SA04 - Hoevenen;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BELSA04_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,039;51,3139;4,4039;11
41B011 - BERCHEM S.A;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETB011_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,893;50,8578;4,2887;11
41MEU1 - MEUDON;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETMEU1_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,584;50,895;4,3957;11
41N043 - HAREN;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN043_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,832;50,8837;4,383;12
